Job Title,Role,Description,Salary Range,Skills,Responsibilities
Software Engineer,Developer,"Designs, develops, tests, and maintains software applications or systems.","RM 45,000 - RM 75,000","Python, Java, C++, Git, Debugging","Write code, fix bugs, collaborate with teams, participate in code reviews, deploy software"
Data Analyst,Analyst,"Collects, processes, and performs statistical analyses of data to help organizations make better decisions.","RM 40,000 - RM 60,000","Excel, SQL, Python, R, Tableau","Analyze data sets, generate reports, provide insights, visualize trends"
Registered Nurse,Healthcare Provider,"Provides medical care, support, and education to patients in various healthcare settings.","RM 45,000 - RM 65,000","Patient care, communication, medical knowledge, empathy, teamwork","Monitor patient health, administer medication, support treatment plans, communicate with families"
High School Teacher,Educator,Teaches academic subjects to students in grades 9 through 12.,"RM 35,000 - RM 55,000","Subject expertise, classroom management, communication, lesson planning","Prepare lessons, teach students, grade assignments, communicate with parents"
Mechanical Engineer,Engineer,"Designs, develops, and tests mechanical devices and systems.","RM 45,000 - RM 65,000","SolidWorks, CAD, mechanical design, thermodynamics, math","Develop mechanical systems, create blueprints, test prototypes, solve technical issues"
Graphic Designer,Creative,"Creates visual concepts to communicate ideas that inspire, inform, and captivate consumers.","RM 35,000 - RM 50,000","Adobe Creative Suite, typography, creativity, branding","Design graphics, collaborate with teams, create branding materials, revise designs based on feedback"
Accountant,Finance,"Prepares and examines financial records, ensures accuracy, and ensures taxes are paid properly.","RM 40,000 - RM 60,000","Excel, QuickBooks, GAAP, financial reporting, tax knowledge","Prepare financial statements, manage budgets, ensure compliance, handle audits"
Digital Marketer,Marketing Specialist,"Plans and executes online marketing campaigns to promote products, services, or brands.","RM 40,000 - RM 60,000","SEO, SEM, Google Analytics, social media, content creation","Create and optimize ads, manage social media, track metrics, run campaigns"
Civil Engineer,Engineering,"Designs and supervises infrastructure projects such as roads, buildings, and bridges.","RM 45,000 - RM 65,000","AutoCAD, structural analysis, project management, math","Plan and design projects, inspect sites, ensure compliance, estimate costs"
Therapist,Mental Health Professional,Helps individuals manage and overcome mental and emotional issues through therapy sessions.,"RM 40,000 - RM 60,000","Empathy, active listening, diagnosis, CBT, communication","Conduct therapy sessions, develop treatment plans, maintain patient records, provide emotional support"
Machine Learning Engineer,AI/ML Developer,Builds and maintains machine learning models to solve complex problems or automate tasks.,"RM 65,000 - RM 90,000","Python, TensorFlow, Scikit-learn, data analysis, statistics","Train models, preprocess data, evaluate model performance, deploy ML solutions"
Cybersecurity Analyst,IT Security,Protects an organization’s computer systems and networks from cyber threats.,"RM 60,000 - RM 80,000","Network security, firewalls, intrusion detection, ethical hacking","Monitor systems, analyze threats, implement security measures, respond to breaches"
DevOps Engineer,Infrastructure Engineer,Manages and automates deployment pipelines and infrastructure for continuous integration and delivery.,"RM 65,000 - RM 90,000","Linux, Docker, Jenkins, cloud platforms (AWS/Azure), scripting","Automate deployments, manage servers, monitor infrastructure, ensure uptime"
Pharmacist,Healthcare Provider,Dispenses prescription medications and offers expertise in the safe use of prescriptions.,"RM 60,000 - RM 80,000","Pharmacology, attention to detail, communication, medical knowledge","Fill prescriptions, counsel patients, manage inventory, ensure regulatory compliance"
Medical Laboratory Technician,Lab Technician,Performs laboratory tests to help diagnose and treat diseases.,"RM 45,000 - RM 70,000","Microscopy, lab testing, sample analysis, precision","Collect samples, conduct tests, report results, maintain lab equipment"
College Professor,Educator,Teaches college-level courses and conducts academic research.,"RM 55,000 - RM 100,000","Subject expertise, research, communication, mentoring","Deliver lectures, conduct research, publish papers, advise students"
Instructional Designer,Learning Specialist,Develops educational content and instructional materials for e-learning.,"RM 50,000 - RM 80,000","Curriculum design, eLearning tools, pedagogy, project management","Design learning experiences, develop content, assess effectiveness"
Video Editor,Media Creator,Edits and assembles recorded footage into finished products suitable for broadcasting.,"RM 40,000 - RM 75,000","Adobe Premiere, Final Cut Pro, storytelling, attention to detail","Edit footage, add effects, sync audio, collaborate with producers"
Animator,Creative,"Creates animations and visual effects for movies, games, and other media.","RM 50,000 - RM 90,000","3D modeling, animation software, creativity, motion graphics","Design animations, model characters, animate scenes, refine with feedback"
Human Resources Manager,HR Professional,"Oversees hiring, training, and employee relations within an organization.","RM 55,000 - RM 95,000","Recruitment, employee relations, compliance, communication","Manage recruitment, handle employee concerns, oversee training programs"
Business Analyst,Analyst,Analyzes business processes to identify areas for improvement and drive strategic goals.,"RM 50,000 - RM 85,000","Data analysis, documentation, stakeholder management, requirements gathering","Assess needs, gather requirements, create reports, support project delivery"
Full Stack Developer,Developer,Works on both front-end and back-end development of web applications.,"RM 65,000 - RM 100,000","HTML, CSS, JavaScript, Node.js, React, databases","Develop front-end and back-end features, ensure responsiveness, troubleshoot issues"
Game Developer,Developer,"Designs and builds video games for consoles, computers, or mobile devices.","RM 50,000 - RM 90,000","Unity, C#, C++, game design, problem-solving","Develop game logic, design mechanics, test gameplay, optimize performance"
Physician Assistant,Healthcare Provider,Provides healthcare services under the supervision of physicians.,"RM 75,000 - RM 100,000","Clinical skills, diagnosis, patient care, communication","Conduct exams, diagnose illnesses, assist in surgeries, educate patients"
Radiologic Technologist,Medical Technician,Performs diagnostic imaging examinations like X-rays.,"RM 50,000 - RM 75,000","Imaging equipment, anatomy, patient care, safety protocols","Operate imaging machines, prepare patients, analyze results"
Special Education Teacher,Educator,"Teaches and supports students with learning, mental, emotional, or physical disabilities.","RM 45,000 - RM 75,000","Adaptability, communication, patience, IEP development","Create lesson plans, adapt curriculum, work with specialists, monitor progress"
Librarian,Information Specialist,Helps people find information and conduct research in libraries.,"RM 40,000 - RM 70,000","Organization, research, cataloging, digital literacy","Manage resources, assist patrons, organize events, maintain databases"
Photographer,Creative,"Captures visual images for artistic, journalistic, or commercial purposes.","RM 30,000 - RM 70,000","Photography, editing, lighting, creativity","Capture photos, edit images, meet clients, prepare portfolios"
Social Media Manager,Marketing Specialist,Manages an organization’s online presence by developing content and engaging with followers.,"RM 45,000 - RM 75,000","Social media platforms, content creation, analytics, communication","Create content, schedule posts, engage with users, analyze performance"
Operations Manager,Management,Oversees the production of goods and services in an organization.,"RM 65,000 - RM 100,000","Leadership, logistics, strategic planning, communication","Supervise operations, improve efficiency, manage teams, ensure quality control"
Sales Manager,Sales,Leads a team of salespeople and develops strategies to meet revenue goals.,"RM 55,000 - RM 95,000","Negotiation, CRM tools, leadership, customer service","Manage sales team, develop strategies, track KPIs, train new hires"
Cloud Solutions Architect,IT Architect,Designs and manages scalable cloud architecture solutions for businesses.,"RM 85,000 - RM 120,000","Cloud platforms (AWS, Azure, GCP), DevOps, system design, networking","Design cloud infrastructure, oversee migrations, optimize costs, ensure security"
UI/UX Designer,Designer,Enhances user satisfaction by improving usability and accessibility in digital products.,"RM 50,000 - RM 85,000","Figma, Adobe XD, prototyping, wireframing, user research","Design interfaces, conduct user testing, collaborate with developers"
Occupational Therapist,Therapist,Helps patients develop or regain daily living and work skills.,"RM 45,000 - RM 70,000","Therapeutic techniques, patient evaluation, communication, empathy","Assess patient needs, design therapy plans, track progress, educate families"
Dentist,Healthcare Provider,Diagnoses and treats issues related to teeth and gums.,"RM 100,000 - RM 170,000","Oral surgery, diagnostics, patient care, dexterity","Examine patients, fill cavities, perform procedures, educate on dental hygiene"
Electrical Engineer,Engineer,"Designs, develops, and tests electrical equipment and systems.","RM 55,000 - RM 90,000","Circuit design, MATLAB, PCB design, problem-solving","Create electrical systems, test prototypes, ensure safety standards"
Environmental Engineer,Engineer,Develops solutions to environmental problems using engineering principles.,"RM 50,000 - RM 80,000","Environmental science, regulatory compliance, CAD, data analysis","Assess pollution sources, design control systems, ensure compliance"
Financial Analyst,Analyst,Evaluates financial data to support business decisions.,"RM 45,000 - RM 75,000","Excel, financial modeling, budgeting, data interpretation","Analyze trends, forecast growth, create reports"
Project Manager,Manager,"Oversees projects  from initiation to completion, ensuring goals are met on time and budget.","RM 60,000 - RM 100,000","Agile, Scrum, leadership, scheduling tools","Plan projects, manage teams, track progress, communicate with stakeholders"
Content Writer,Writer,"Produces engaging written content for websites, blogs, and marketing materials.","RM 35,000 - RM 60,000","Writing, SEO, research, grammar","Write articles, optimize content for SEO, proofread"
Art Director,Creative Leader,"Leads visual style and imagery in advertising, publications, or film.","RM 55,000 - RM 90,000","Design, leadership, creativity, branding","Oversee visuals, manage teams, coordinate with clients"
Paralegal,Legal Assistant,"Supports lawyers with legal research, drafting documents, and file management.","RM 35,000 - RM 55,000","Legal research, writing, organization, communication","Assist with case preparation, manage documents, conduct legal research"
